day,ts_utc_day,n_samples,n_out_of_range,n_hours,solar_v_avg,solar_v_max,solar2_v_avg,solar2_v_max,solar3_v_avg,solar3_v_max,battery_v_avg,battery_v_min,battery_v_max,battery2_v_min,battery2_v_max,lipo_v_avg,lipo_v_min,lipo_v_max,lipo2_v_avg,lipo2_v_min,lipo2_v_max,current_a_avg,current_a_chA_avg,current_a_chB_avg,current2_a_avg,power_w_avg,power_w_max,load_v_avg,load1_v_avg,load2_v_avg,wind_v_avg,temp_deci_c_avg,temp_deci_c_min,temp_deci_c_max,voltage_adc_avg,digital_adc_avg,energy_wh,boot_count_min,boot_count_max,solar_v_n_oor,solar2_v_n_oor,solar3_v_n_oor,battery_v_n_oor,battery2_v_n_oor,lipo_v_n_oor,lipo2_v_n_oor,current_a_n_oor,current_a_chA_n_oor,current_a_chB_n_oor,current2_a_n_oor,power_w_n_oor,load_v_n_oor,load1_v_n_oor,load2_v_n_oor,temp_c_n_oor,scaled_channels
2021-02-09,2021-02-09T00:00:00Z,243.0,243.0,9.0,,,0.0,0.0,,,,,,,,,,,4.064,2.549,4.187,,,,233.861,0.0,0.0,,,,,318.367,296.0,336.0,,,0.0,1.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2021-02-10,2021-02-10T00:00:00Z,704.0,704.0,24.0,,,0.358,1.784,,,,,,,,,,,4.113,4.092,4.143,,,,231.19,0.0,0.0,,,,,310.244,275.0,392.0,,,0.0,256.0,962.0,0.0,233.0,0.0,0.0,0.0,0.0,704.0,0.0,0.0,0.0,704.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2021-02-11,2021-02-11T00:00:00Z,617.0,617.0,21.0,,,0.385,1.809,,,,,,,,,,,4.084,4.075,4.097,,,,232.163,0.0,0.0,,,,,297.396,269.0,358.0,,,0.0,963.0,1580.0,0.0,282.0,0.0,0.0,0.0,0.0,617.0,0.0,0.0,0.0,617.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2021-02-13,2021-02-13T00:00:00Z,483.0,483.0,17.0,,,0.143,1.42,,,,,,,,,,,4.014,4.007,4.021,,,,234.678,0.0,0.0,,,,,276.628,252.0,353.0,,,0.0,2425.0,2907.0,0.0,73.0,0.0,0.0,0.0,0.0,483.0,0.0,0.0,0.0,483.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2021-02-14,2021-02-14T00:00:00Z,706.0,706.0,24.0,,,0.419,1.704,,,,,,,,,,,4.004,3.994,4.012,,,,233.727,0.0,0.0,,,,,284.662,248.0,365.0,,,0.0,2908.0,3614.0,0.0,291.0,0.0,0.0,0.0,0.0,706.0,0.0,0.0,0.0,706.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2021-02-15,2021-02-15T00:00:00Z,705.0,705.0,24.0,,,0.444,1.7,,,,,,,,,,,3.987,3.976,3.999,,,,233.531,0.0,0.0,,,,,287.753,247.0,367.0,,,0.0,3615.0,4321.0,0.0,292.0,0.0,0.0,0.0,0.0,705.0,0.0,0.0,0.0,705.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2021-02-16,2021-02-16T00:00:00Z,707.0,707.0,24.0,,,0.429,1.648,,,,,,,,,,,3.966,3.948,3.978,,,,233.384,0.0,0.0,,,,,290.183,247.0,380.0,,,0.0,4322.0,5028.0,0.0,292.0,0.0,0.0,0.0,0.0,707.0,0.0,0.0,0.0,707.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2021-02-17,2021-02-17T00:00:00Z,704.0,704.0,24.0,,,0.378,1.415,,,,,,,,,,,3.935,3.92,3.951,,,,232.531,0.0,0.0,,,,,299.77,250.0,393.0,,,0.0,5029.0,5734.0,0.0,286.0,0.0,0.0,0.0,0.0,704.0,0.0,0.0,0.0,704.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2021-02-18,2021-02-18T00:00:00Z,700.0,700.0,24.0,,,0.407,1.761,,,,,,,,,,,3.911,3.895,3.922,,,,232.239,0.0,0.0,,,,,302.502,249.0,383.0,,,0.0,5735.0,6441.0,0.0,285.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2021-02-19,2021-02-19T00:00:00Z,706.0,706.0,24.0,,,0.363,1.392,,,,,,,,,,,3.893,3.88,3.902,,,,231.952,0.0,0.0,,,,,305.226,252.0,393.0,,,0.0,6442.0,7148.0,0.0,288.0,0.0,0.0,0.0,0.0,706.0,0.0,0.0,0.0,706.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2021-02-20,2021-02-20T00:00:00Z,707.0,707.0,24.0,,,0.346,1.418,,,,,,,,,,,3.883,3.874,3.892,,,,231.957,0.0,0.0,,,,,304.935,252.0,404.0,,,0.0,7149.0,7855.0,0.0,292.0,0.0,0.0,0.0,0.0,707.0,0.0,0.0,0.0,707.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2021-02-21,2021-02-21T00:00:00Z,706.0,706.0,24.0,,,0.436,2.051,,,,,,,,,,,3.875,3.869,3.884,,,,232.54,0.0,0.0,,,,,298.875,249.0,391.0,,,0.0,7856.0,8562.0,0.0,282.0,0.0,0.0,0.0,0.0,706.0,0.0,0.0,0.0,706.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2021-02-22,2021-02-22T00:00:00Z,706.0,706.0,24.0,,,0.41,2.235,,,,,,,,,,,3.87,3.862,3.877,,,,233.173,0.0,0.0,,,,,294.885,250.0,399.0,,,0.0,8563.0,9269.0,0.0,285.0,0.0,0.0,0.0,0.0,706.0,0.0,0.0,0.0,706.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2021-02-23,2021-02-23T00:00:00Z,652.0,652.0,24.0,,,0.407,1.651,,,,,,,,,,,3.857,3.846,3.867,,,,232.251,0.0,0.0,,,,,301.849,261.0,399.0,,,0.0,9270.0,9967.0,0.0,269.0,0.0,0.0,0.0,0.0,652.0,0.0,0.0,0.0,652.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2021-02-24,2021-02-24T00:00:00Z,704.0,704.0,24.0,,,0.447,2.061,,,,,,,,,,,3.843,3.834,3.852,,,,232.029,0.0,0.0,,,,,302.835,261.0,401.0,,,0.0,9968.0,10672.0,0.0,293.0,0.0,0.0,0.0,0.0,704.0,0.0,0.0,0.0,704.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
2021-02-25,2021-02-25T00:00:00Z,704.0,704.0,24.0,,,0.437,1.718,,,,,,,,,,,3.831,3.821,3.841,,,,231.387,0.0,0.0,,,,,309.09,267.0,394.0,,,0.0,10673.0,11378.0,0.0,297.0,0.0,0.0,0.0,0.0,704.0,0.0,0.0,0.0,704.0,0.0,0.0,0.0,0.0,0.0,"solar2_v,lipo2_v"
